ticker,date,period_ending,estimate,reported,surprise,surprise%,group
A,2021-05-25,21-Apr,0.82,0.97,0.15,18.29,2
AA,2021-04-15,21-Mar,0.48,0.79,0.31,64.58,1
AAL,2021-04-22,21-Mar,-4.35,-4.32,0.03,0.69,3
AAP,2021-06-02,21-Mar,3.08,3.34,0.26,8.44,2
AAPL,2021-04-28,21-Mar,1,1.4,0.4,40,1
ABBV,2021-04-30,21-Mar,2.77,2.95,0.18,6.5,2
ABC,2021-05-05,21-Mar,2.51,2.53,0.02,0.8,3
ABMD,2021-04-29,21-Mar,1.1,1.24,0.14,12.73,2
ABT,2021-04-20,21-Mar,1.33,1.32,-0.01,-0.75,3
ACC,2021-04-19,21-Mar,0.56,0.11,-0.45,-80.36,3
ACGL,2021-04-27,21-Mar,0.5,0.59,0.09,18,2
ACHC,2021-04-29,21-Mar,0.45,0.47,0.02,4.44,3
ACI,2021-04-26,21-Feb,0.5,0.6,0.1,20,2
ACM,2021-05-10,21-Mar,0.63,0.67,0.04,6.35,2
ACN,2021-03-18,21-Feb,1.9,2.03,0.13,6.84,2
ADBE,2021-03-23,21-Feb,2.79,3.14,0.35,12.54,2
ADI,2021-05-19,21-Apr,1.45,1.54,0.09,6.21,2
ADM,2021-04-27,21-Mar,1,1.39,0.39,39,1
ADP,2021-04-28,21-Mar,1.82,1.89,0.07,3.85,3
ADPT,2021-05-05,21-Mar,-0.41,-0.29,0.12,29.27,1
ADS,2021-04-29,21-Mar,3.23,6.28,3.05,94.43,1
ADSK,2021-05-27,21-Apr,0.94,1.03,0.09,9.57,2
ADT,2021-05-05,21-Mar,0.15,-0.07,-0.22,-146.67,3
AEE,2021-05-10,21-Mar,0.79,0.91,0.12,15.19,2
AEP,2021-04-22,21-Mar,1.23,1.15,-0.08,-6.5,3
AES,2021-05-06,21-Mar,0.3,0.28,-0.02,-6.67,3
AFG,2021-05-04,21-Mar,1.74,2.38,0.64,36.78,1
AFL,2021-04-28,21-Mar,1.2,1.53,0.33,27.5,1
AGCO,2021-04-29,21-Mar,1.11,2,0.89,80.18,1
AGL,2021-05-26,21-Mar,-0.04,-0.04,0,0,3
AGNC,2021-04-26,21-Mar,0.64,0.76,0.12,18.75,2
AGR,2021-05-03,21-Mar,0.78,1.14,0.36,46.15,1
AI,2021-06-02,21-Apr,-0.29,-0.24,0.05,17.24,2
AIG,2021-05-06,21-Mar,0.99,1.05,0.06,6.06,2
AIZ,2021-05-04,21-Mar,1.96,2.47,0.51,26.02,1
AJG,2021-04-29,21-Mar,1.83,2.02,0.19,10.38,2
AKAM,2021-05-04,21-Mar,1.3,1.38,0.08,6.15,2
AL,2021-05-06,21-Mar,1.01,0.7,-0.31,-30.69,3
ALB,2021-05-05,21-Mar,0.79,1.1,0.31,39.24,1
ALGN,2021-04-28,21-Mar,1.99,2.49,0.5,25.13,1
ALK,2021-04-22,21-Mar,-3.71,-3.51,0.2,5.39,3
ALL,2021-05-05,21-Mar,3.85,6.11,2.26,58.7,1
ALLE,2021-04-22,21-Mar,1.02,1.2,0.18,17.65,2
ALLY,2021-04-16,21-Mar,1.18,2.09,0.91,77.12,1
ALNY,2021-04-29,21-Mar,-1.75,-1.71,0.04,2.29,3
ALSN,2021-04-28,21-Mar,0.9,1.07,0.17,18.89,2
AM,2021-04-28,21-Mar,0.22,0.21,-0.01,-4.55,3
AMAT,2021-05-20,21-Apr,1.51,1.63,0.12,7.95,2
AMD,2021-04-27,21-Mar,0.44,0.52,0.08,18.18,2
AME,2021-05-04,21-Mar,1.02,1.07,0.05,4.9,3
AMED,2021-04-28,21-Mar,1.43,1.54,0.11,7.69,2
AMG,2021-05-03,21-Mar,4.26,4.28,0.02,0.47,3
AMGN,2021-04-27,21-Mar,4,3.7,-0.3,-7.5,3
AMH,2021-05-06,21-Mar,0.31,0.09,-0.22,-70.97,3
AMP,2021-04-26,21-Mar,4.73,5.43,0.7,14.8,2
AMT,2021-04-29,21-Mar,2.32,1.45,-0.87,-37.5,3
AMZN,2021-04-29,21-Mar,9.75,15.79,6.04,61.95,1
AN,2021-04-20,21-Mar,1.8,2.79,0.99,55,1
ANET,2021-05-04,21-Mar,2.38,2.5,0.12,5.04,3
ANSS,2021-05-05,21-Mar,0.85,1.12,0.27,31.76,1
ANTM,2021-04-21,21-Mar,6.86,7.01,0.15,2.19,3
AON,2021-04-30,21-Mar,4.04,4.28,0.24,5.94,3
AOS,2021-04-29,21-Mar,0.56,0.6,0.04,7.14,2
APA,2021-05-05,21-Mar,0.74,0.91,0.17,22.97,2
APD,2021-05-10,21-Mar,2.13,2.08,-0.05,-2.35,3
APH,2021-04-28,21-Mar,0.47,0.52,0.05,10.64,2
APO,2021-05-04,21-Mar,0.59,0.66,0.07,11.86,2
APTV,2021-05-06,21-Mar,0.77,1.06,0.29,37.66,1
ARE,2021-04-26,21-Mar,1.85,0.04,-1.81,-97.84,3
ARES,2021-04-29,21-Mar,0.51,0.46,-0.05,-9.8,3
ARMK,2021-05-11,21-Mar,-0.35,-0.24,0.11,31.43,1
ARW,2021-05-06,21-Mar,2.27,2.84,0.57,25.11,1
ASH,2021-04-28,21-Mar,1.36,1.05,-0.31,-22.79,3
ATH,2021-05-07,21-Mar,2.15,3.8,1.65,76.74,1
ATO,2021-05-05,21-Mar,2.05,2.3,0.25,12.2,2
ATR,2021-04-29,21-Mar,0.9,1.09,0.19,21.11,2
ATUS,2021-04-28,21-Mar,0.29,0.58,0.29,100,1
ATVI,2021-05-04,21-Mar,0.69,0.84,0.15,21.74,2
AVB,2021-04-28,21-Mar,1.94,1.02,-0.92,-47.42,3
AVGO,2021-06-03,21-Apr,6.44,6.62,0.18,2.8,3
AVLR,2021-05-06,21-Mar,-0.11,-0.08,0.03,27.27,1
AVT,2021-04-28,21-Mar,0.56,0.74,0.18,32.14,1
AVTR,2021-04-28,21-Mar,0.28,0.35,0.07,25,1
AVY,2021-04-28,21-Mar,2.01,2.4,0.39,19.4,2
AWI,2021-04-27,21-Mar,0.96,0.84,-0.12,-12.5,3
AWK,2021-05-03,21-Mar,0.73,0.73,0,0,3
AXON,2021-05-06,21-Mar,0.21,0.31,0.1,47.62,1
AXP,2021-04-23,21-Mar,1.68,1.74,0.06,3.57,3
AXS,2021-04-28,21-Mar,0.65,0.97,0.32,49.23,1
AXTA,2021-04-26,21-Mar,0.42,0.5,0.08,19.05,2
AYI,2021-03-31,21-Feb,1.69,2.12,0.43,25.44,1
AYX,2021-05-04,21-Mar,-0.23,-0.08,0.15,65.22,1
AZO,2021-03-02,21-Feb,13.07,14.93,1.86,14.23,2
AZPN,2021-04-28,21-Mar,1.16,1.05,-0.11,-9.48,3
BA,2021-04-28,21-Mar,-1.17,-1.53,-0.36,-30.77,3
BAC,2021-04-15,21-Mar,0.65,0.86,0.21,32.31,1
BAH,2021-05-21,21-Mar,0.82,0.89,0.07,8.54,2
BAX,2021-04-29,21-Mar,0.64,0.76,0.12,18.75,2
BBY,2021-05-27,21-Apr,1.45,2.23,0.78,53.79,1
BC,2021-04-29,21-Mar,1.45,2.24,0.79,54.48,1
BDX,2021-05-06,21-Mar,3.04,3.19,0.15,4.93,3
BEN,2021-05-04,21-Mar,0.74,0.79,0.05,6.76,2
BERY,2021-05-04,21-Mar,1.31,1.59,0.28,21.37,2
BFAM,2021-05-05,21-Mar,0.1,0.23,0.13,130,1
BG,2021-05-04,21-Mar,1.55,3.13,1.58,101.94,1
BHF,2021-05-10,21-Mar,2.42,4.86,2.44,100.83,1
BIIB,2021-04-22,21-Mar,5.06,5.34,0.28,5.53,3
BILL,2021-05-06,21-Mar,-0.08,-0.02,0.06,75,1
BIO,2021-04-29,21-Mar,2.5,5.21,2.71,108.4,1
BK,2021-04-16,21-Mar,0.87,0.97,0.1,11.49,2
BKI,2021-05-06,21-Mar,0.51,0.56,0.05,9.8,2
BKNG,2021-05-05,21-Mar,-7.26,-5.26,2,27.55,1
BKR,2021-04-21,21-Mar,0.11,0.12,0.01,9.09,2
BLD,2021-05-06,21-Mar,1.93,2.02,0.09,4.66,3
BLDR,2021-05-06,21-Mar,0.81,1.1,0.29,35.8,1
BLK,2021-04-15,21-Mar,7.64,7.77,0.13,1.7,3
BLL,2021-05-06,21-Mar,0.67,0.72,0.05,7.46,2
BMRN,2021-04-29,21-Mar,0.32,0.56,0.24,75,1
BMY,2021-04-29,21-Mar,1.8,1.74,-0.06,-3.33,3
BOH,2021-04-26,21-Mar,1.18,1.5,0.32,27.12,1
BOKF,2021-04-21,21-Mar,1.92,2.1,0.18,9.38,2
BPOP,2021-04-28,21-Mar,1.91,3.12,1.21,63.35,1
BR,2021-05-04,21-Mar,1.67,1.76,0.09,5.39,3
BRKR,2021-05-05,21-Mar,0.32,0.44,0.12,37.5,1
BRKS,2021-05-10,21-Mar,0.51,0.69,0.18,35.29,1
BRO,2021-04-26,21-Mar,0.56,0.7,0.14,25,1
BRX,2021-05-03,21-Mar,0.4,0.18,-0.22,-55,3
BSX,2021-04-28,21-Mar,0.3,0.37,0.07,23.33,2
BURL,2021-05-27,21-Apr,0.92,2.59,1.67,181.52,1
BWA,2021-05-05,21-Mar,0.92,1.21,0.29,31.52,1
BWXT,2021-05-03,21-Mar,0.71,0.73,0.02,2.82,3
BX,2021-04-22,21-Mar,0.72,0.96,0.24,33.33,1
BXP,2021-04-27,21-Mar,1.55,0.59,-0.96,-61.94,3
BYD,2021-04-27,21-Mar,0.44,0.93,0.49,111.36,1
BYND,2021-05-06,21-Mar,-0.27,-0.42,-0.15,-55.56,3
C,2021-04-15,21-Mar,2.56,3.62,1.06,41.41,1
CABO,2021-05-06,21-Mar,10.22,11.19,0.97,9.49,2
CACC,2021-04-29,21-Mar,8.44,11.82,3.38,40.05,1
CACI,2021-04-21,21-Mar,3.69,5.28,1.59,43.09,1
CAG,2021-04-08,21-Feb,0.58,0.59,0.01,1.72,3
CAH,2021-05-06,21-Mar,1.58,1.53,-0.05,-3.16,3
CARR,2021-04-29,21-Mar,0.38,0.48,0.1,26.32,1
CASY,2021-06-08,21-Apr,0.67,1.12,0.45,67.16,1
CAT,2021-04-29,21-Mar,1.93,2.87,0.94,48.7,1
CB,2021-04-27,21-Mar,2.45,2.52,0.07,2.86,3
CBOE,2021-04-30,21-Mar,1.39,1.53,0.14,10.07,2
CBRE,2021-04-29,21-Mar,0.7,0.86,0.16,22.86,2
CBSH,2021-04-15,21-Mar,0.96,1.11,0.15,15.63,2
CC,2021-05-03,21-Mar,0.68,0.71,0.03,4.41,3
CCI,2021-04-21,21-Mar,1.61,0.28,-1.33,-82.61,3
CCK,2021-04-19,21-Mar,1.39,1.83,0.44,31.65,1
CCL,2021-04-07,21-Feb,-1.66,-1.79,-0.13,-7.83,3
CDAY,2021-05-05,21-Mar,0.09,0.09,0,0,3
CDK,2021-05-06,21-Mar,0.68,0.69,0.01,1.47,3
CDNS,2021-04-26,21-Mar,0.74,0.83,0.09,12.16,2
CDW,2021-05-05,21-Mar,1.54,1.74,0.2,12.99,2
CE,2021-04-22,21-Mar,3.01,3.46,0.45,14.95,2
CERN,2021-05-05,21-Mar,0.74,0.76,0.02,2.7,3
CF,2021-05-05,21-Mar,0.57,0.7,0.13,22.81,2
CFG,2021-04-16,21-Mar,0.97,1.41,0.44,45.36,1
CFR,2021-04-29,21-Mar,1.42,1.77,0.35,24.65,1
CFX,2021-04-29,21-Mar,0.39,0.44,0.05,12.82,2
CG,2021-04-29,21-Mar,0.54,0.58,0.04,7.41,2
CGNX,2021-05-06,21-Mar,0.35,0.39,0.04,11.43,2
CHD,2021-04-29,21-Mar,0.8,0.83,0.03,3.75,3
CHDN,2021-04-21,21-Mar,0.56,0.87,0.31,55.36,1
CHE,2021-04-27,21-Mar,4.2,4.44,0.24,5.71,3
CHGG,2021-05-03,21-Mar,0.31,0.28,-0.03,-9.68,3
CHH,2021-05-10,21-Mar,0.63,0.57,-0.06,-9.52,3
CHNG,2021-05-26,21-Mar,0.37,0.42,0.05,13.51,2
CHRW,2021-04-27,21-Mar,0.97,1.28,0.31,31.96,1
CHTR,2021-04-30,21-Mar,4.34,4.11,-0.23,-5.3,3
CI,2021-05-07,21-Mar,4.42,4.73,0.31,7.01,2
CIEN,2021-06-03,21-Apr,0.48,0.62,0.14,29.17,1
CINF,2021-04-28,21-Mar,1.05,1.37,0.32,30.48,1
CL,2021-04-30,21-Mar,0.8,0.8,0,0,3
CLF,2021-04-22,21-Mar,0.33,0.35,0.02,6.06,3
CLH,2021-05-05,21-Mar,0.26,0.42,0.16,61.54,1
CLR,2021-04-28,21-Mar,0.52,0.77,0.25,48.08,1
CLX,2021-04-30,21-Mar,1.47,1.62,0.15,10.2,2
CMA,2021-04-20,21-Mar,1.38,2.43,1.05,76.09,1
CMCSA,2021-04-29,21-Mar,0.59,0.76,0.17,28.81,1
CME,2021-04-28,21-Mar,1.75,1.79,0.04,2.29,3
CMG,2021-04-21,21-Mar,4.92,5.36,0.44,8.94,2
CMI,2021-05-04,21-Mar,3.46,4.04,0.58,16.76,2
CMS,2021-04-29,21-Mar,1.17,1.21,0.04,3.42,3
CNA,2021-05-03,21-Mar,0.95,0.96,0.01,1.05,3
CNC,2021-04-27,21-Mar,1.65,1.63,-0.02,-1.21,3
CNP,2021-05-06,21-Mar,0.5,0.59,0.09,18,2
CNXC,2021-03-24,21-Feb,2.03,2.29,0.26,12.81,2
COF,2021-04-27,21-Mar,4.17,7.03,2.86,68.59,1
COHR,2021-05-12,21-Mar,1.17,1.42,0.25,21.37,2
COLD,2021-05-06,21-Mar,0.31,-0.06,-0.37,-119.35,3
COLM,2021-04-29,21-Mar,0.33,0.84,0.51,154.55,1
COMM,2021-05-06,21-Mar,0.31,0.36,0.05,16.13,2
CONE,2021-04-28,21-Mar,0.98,0.15,-0.83,-84.69,3
COO,2021-06-03,21-Apr,3.12,3.38,0.26,8.33,2
COP,2021-05-04,21-Mar,0.57,0.69,0.12,21.05,2
COR,2021-04-29,21-Mar,1.33,0.51,-0.82,-61.65,3
COST,2021-03-04,21-Feb,2.42,2.14,-0.28,-11.57,3
COUP,2021-06-07,21-Apr,-0.19,0.07,0.26,136.84,1
CPA,2021-05-05,21-Mar,-2.25,-2.23,0.02,0.89,3
CPB,2021-06-09,21-Apr,0.66,0.57,-0.09,-13.64,3
CPRI,2021-05-26,21-Mar,-0.01,0.38,0.39,3900,1
CPRT,2021-05-19,21-Apr,0.8,1.09,0.29,36.25,1
CPT,2021-04-29,21-Mar,1.23,0.31,-0.92,-74.8,3
CR,2021-05-03,21-Mar,1.31,1.66,0.35,26.72,1
CRI,2021-04-30,21-Mar,0.27,1.98,1.71,633.33,1
CRL,2021-05-04,21-Mar,2.19,2.53,0.34,15.53,2
CRM,2021-05-27,21-Apr,0.88,1.21,0.33,37.5,1
CRUS,2021-04-29,21-Mar,0.69,0.66,-0.03,-4.35,3
CRWD,2021-06-03,21-Apr,0.06,0.1,0.04,66.67,1
CSCO,2021-05-19,21-Apr,0.82,0.83,0.01,1.22,3
CSGP,2021-04-27,21-Mar,0.24,0.28,0.04,16.67,2
CSL,2021-04-22,21-Mar,0.68,1.47,0.79,116.18,1
CSX,2021-04-20,21-Mar,0.32,0.31,-0.01,-3.13,3
CTAS,2021-03-17,21-Feb,2.21,2.37,0.16,7.24,2
CTLT,2021-05-04,21-Mar,0.76,0.82,0.06,7.89,2
CTSH,2021-05-05,21-Mar,0.94,0.97,0.03,3.19,3
CTVA,2021-05-04,21-Mar,0.67,0.79,0.12,17.91,2
CTXS,2021-04-29,21-Mar,1.42,1.42,0,0,3
CUBE,2021-04-29,21-Mar,0.45,0.21,-0.24,-53.33,3
CUZ,2021-04-29,21-Mar,0.7,0.2,-0.5,-71.43,3
CVNA,2021-05-06,21-Mar,-0.7,-0.46,0.24,34.29,1
CVS,2021-05-04,21-Mar,1.72,2.04,0.32,18.6,2
CVX,2021-04-30,21-Mar,0.92,0.9,-0.02,-2.17,3
CW,2021-05-05,21-Mar,1.3,1.51,0.21,16.15,2
CZR,2021-05-04,21-Mar,-1.69,-2.06,-0.37,-21.89,3
D,2021-05-04,21-Mar,1.08,1.09,0.01,0.93,3
DAL,2021-04-15,21-Mar,-3.08,-3.55,-0.47,-15.26,3
DAR,2021-05-11,21-Mar,0.57,0.9,0.33,57.89,1
DBX,2021-05-06,21-Mar,0.3,0.35,0.05,16.67,2
DCI,2021-06-02,21-Apr,0.58,0.66,0.08,13.79,2
DCT,2021-04-05,21-Feb,-0.03,0.01,0.04,133.33,1
DD,2021-05-04,21-Mar,0.77,0.91,0.14,18.18,2
DDOG,2021-05-06,21-Mar,0.03,0.06,0.03,100,1
DE,2021-05-21,21-Apr,4.44,5.68,1.24,27.93,1
DECK,2021-05-20,21-Mar,0.58,1.18,0.6,103.45,1
DEI,2021-05-04,21-Mar,0.43,0.06,-0.37,-86.05,3
DELL,2021-05-27,21-Apr,1.55,2.13,0.58,37.42,1
DFS,2021-04-21,21-Mar,2.88,5.04,2.16,75,1
DG,2021-05-27,21-Apr,2.14,2.82,0.68,31.78,1
DGX,2021-04-22,21-Mar,3.77,3.76,-0.01,-0.27,3
DHI,2021-04-22,21-Mar,2.2,2.53,0.33,15,2
DHR,2021-04-22,21-Mar,1.67,2.52,0.85,50.9,1
DIS,2021-05-13,21-Mar,0.29,0.79,0.5,172.41,1
DISCA,2021-04-28,21-Mar,0.61,0.21,-0.4,-65.57,3
DISCK,2021-04-28,21-Mar,0.61,0.21,-0.4,-65.57,3
DISH,2021-04-29,21-Mar,0.83,0.99,0.16,19.28,2
DKNG,2021-05-07,21-Mar,-0.51,-0.87,-0.36,-70.59,3
DKS,2021-05-26,21-Apr,1.04,3.79,2.75,264.42,1
DLB,2021-05-04,21-Mar,0.67,0.91,0.24,35.82,1
DLR,2021-04-29,21-Mar,1.59,1.5,-0.09,-5.66,3
DLTR,2021-05-27,21-Apr,1.4,1.6,0.2,14.29,2
DNB,2021-05-05,21-Mar,0.21,0.23,0.02,9.52,2
DOCU,2021-06-03,21-Apr,0.27,0.44,0.17,62.96,1
DOV,2021-04-20,21-Mar,1.47,1.81,0.34,23.13,2
DOW,2021-04-22,21-Mar,1.1,1.36,0.26,23.64,2
DOX,2021-05-12,21-Mar,1.14,1.13,-0.01,-0.88,3
DPZ,2021-04-29,21-Mar,2.94,3,0.06,2.04,3
DRE,2021-04-28,21-Mar,0.39,0.21,-0.18,-46.15,3
DRI,2021-03-25,21-Feb,0.72,0.98,0.26,36.11,1
DT,2021-05-12,21-Mar,0.14,0.15,0.01,7.14,2
DTE,2021-04-27,21-Mar,2.16,2.44,0.28,12.96,2
DUK,2021-05-10,21-Mar,1.24,1.26,0.02,1.61,3
DV,2021-05-25,21-Mar,0.07,0.04,-0.03,-42.86,3
DVA,2021-04-29,21-Mar,1.8,2.09,0.29,16.11,2
DVN,2021-05-04,21-Mar,0.35,0.45,0.1,28.57,1
DXC,2021-05-26,21-Mar,0.7,0.74,0.04,5.71,3
DXCM,2021-04-29,21-Mar,0.31,0.33,0.02,6.45,2
EA,2021-05-11,21-Mar,1.04,1.03,-0.01,-0.96,3
EBAY,2021-04-28,21-Mar,1.07,1.09,0.02,1.87,3
ECL,2021-04-27,21-Mar,0.82,0.81,-0.01,-1.22,3
ED,2021-05-06,21-Mar,1.36,1.43,0.07,5.15,3
EEFT,2021-04-28,21-Mar,0.35,0.23,-0.12,-34.29,3
EFX,2021-04-21,21-Mar,1.52,1.97,0.45,29.61,1
EHC,2021-04-27,21-Mar,0.8,1.05,0.25,31.25,1
EIX,2021-04-27,21-Mar,0.76,0.79,0.03,3.95,3
EL,2021-05-03,21-Mar,1.29,1.62,0.33,25.58,1
ELAN,2021-05-07,21-Mar,0.23,0.37,0.14,60.87,1
ELS,2021-04-19,21-Mar,0.6,0.36,-0.24,-40,3
EMN,2021-04-29,21-Mar,2.03,2.13,0.1,4.93,3
EMR,2021-05-05,21-Mar,0.9,0.97,0.07,7.78,2
ENPH,2021-04-27,21-Mar,0.41,0.56,0.15,36.59,1
ENTG,2021-04-27,21-Mar,0.72,0.7,-0.02,-2.78,3
EOG,2021-05-06,21-Mar,1.44,1.62,0.18,12.5,2
EPAM,2021-05-06,21-Mar,1.68,1.81,0.13,7.74,2
EPR,2021-05-05,21-Mar,0.44,-0.04,-0.48,-109.09,3
EQH,2021-05-05,21-Mar,1.23,1.13,-0.1,-8.13,3
EQIX,2021-04-28,21-Mar,6.63,4.07,-2.56,-38.61,3
EQR,2021-04-27,21-Mar,0.68,0.15,-0.53,-77.94,3
EQT,2021-05-05,21-Mar,0.27,0.3,0.03,11.11,2
ERIE,2021-04-29,21-Mar,1.41,1.41,0,0,3
ES,2021-05-10,21-Mar,1.1,1.15,0.05,4.55,3
ESI,2021-04-28,21-Mar,0.32,0.37,0.05,15.63,2
ESS,2021-04-27,21-Mar,3.04,2.43,-0.61,-20.07,3
ESTC,2021-06-02,21-Apr,-0.16,-0.08,0.08,50,1
ETN,2021-05-04,21-Mar,1.25,1.44,0.19,15.2,2
ETR,2021-04-28,21-Mar,1.19,1.47,0.28,23.53,2
ETSY,2021-05-05,21-Mar,0.84,1,0.16,19.05,2
EVBG,2021-05-10,21-Mar,-0.11,0.18,0.29,263.64,1
EVR,2021-04-28,21-Mar,2.63,3.29,0.66,25.1,1
EVRG,2021-05-06,21-Mar,0.47,0.55,0.08,17.02,2
EW,2021-04-20,21-Mar,0.47,0.54,0.07,14.89,2
EWBC,2021-04-22,21-Mar,1.23,1.44,0.21,17.07,2
EXAS,2021-05-04,21-Mar,-1.04,-0.18,0.86,82.69,1
EXC,2021-05-05,21-Mar,0.34,-0.06,-0.4,-117.65,3
EXP,2021-05-19,21-Mar,1.31,1.56,0.25,19.08,2
